"V1","V2","V3","V4"
"1dsep","1","0.0368478298187256","2"
"1dsep","2","0.0170669555664062","2"
"1dsep","3","0.0173070430755615","2"
"1dsep","4","0.0210330486297607","2"
"1dsep","5","0.0252699851989746","2"
"1dsep","6","0.0386679172515869","2"
"1dsep","7","0.0170140266418457","2"
"1dsep","8","0.0168969631195068","2"
"1dsep","9","0.0215630531311035","2"
"1dsep","10","0.0442228317260742","2"
"2asia","1","0.021435022354126","2"
"2asia","2","0.0235030651092529","2"
"2asia","3","0.0215840339660645","2"
"2asia","4","0.0206120014190674","2"
"2asia","5","0.0203521251678467","2"
"2asia","6","0.0200541019439697","2"
"2asia","7","0.0202469825744629","2"
"2asia","8","0.0203859806060791","2"
"2asia","9","0.0203640460968018","2"
"2asia","10","0.0199248790740967","2"
"3bowling","1","0.0224499702453613","4"
"3bowling","2","0.0295939445495605","11"
"3bowling","3","0.0225541591644287","4"
"3bowling","4","0.0222349166870117","4"
"3bowling","5","0.0225551128387451","6"
"3bowling","6","0.0220439434051514","4"
"3bowling","7","0.0224671363830566","4"
"3bowling","8","0.0230660438537598","4"
"3bowling","9","0.0215260982513428","2"
"3bowling","10","0.0227639675140381","4"
"4insuranceSmall","1","0.0345871448516846","27"
"4insuranceSmall","2","0.0344860553741455","32"
"4insuranceSmall","3","0.0344221591949463","30"
"4insuranceSmall","4","0.034160852432251","32"
"4insuranceSmall","5","0.0342910289764404","36"
"4insuranceSmall","6","0.0346219539642334","31"
"4insuranceSmall","7","0.0557811260223389","32"
"4insuranceSmall","8","0.0386300086975098","30"
"4insuranceSmall","9","0.0344550609588623","21"
"4insuranceSmall","10","0.0589568614959717","28"
"5rain","1","0.0323917865753174","8"
"5rain","2","0.0317070484161377","10"
"5rain","3","0.0550999641418457","11"
"5rain","4","0.0318760871887207","11"
"5rain","5","0.0315849781036377","10"
"5rain","6","0.0328340530395508","8"
"5rain","7","0.0325260162353516","10"
"5rain","8","0.0320529937744141","11"
"5rain","9","0.032459020614624","11"
"5rain","10","0.0324690341949463","5"
"6cloud","1","0.0393538475036621","8"
"6cloud","2","0.0359461307525635","16"
"6cloud","3","0.0358130931854248","12"
"6cloud","4","0.0629889965057373","8"
"6cloud","5","0.0359921455383301","17"
"6cloud","6","0.0360138416290283","8"
"6cloud","7","0.0355789661407471","5"
"6cloud","8","0.035585880279541","8"
"6cloud","9","0.061337947845459","14"
"6cloud","10","0.0357811450958252","14"
"7funnel","1","0.0400400161743164","2"
"7funnel","2","0.0398030281066895","2"
"7funnel","3","0.0398390293121338","2"
"7funnel","4","0.0651040077209473","2"
"7funnel","5","0.0397348403930664","2"
"7funnel","6","0.0400328636169434","2"
"7funnel","7","0.0397021770477295","2"
"7funnel","8","0.0401260852813721","2"
"7funnel","9","0.0691111087799072","2"
"7funnel","10","0.0397729873657227","2"
"8galaxy","1","0.0785861015319824","5"
"8galaxy","2","0.0429801940917969","3"
"8galaxy","3","0.0431911945343018","4"
"8galaxy","4","0.044842004776001","5"
"8galaxy","5","0.0441279411315918","13"
"8galaxy","6","0.0451710224151611","4"
"8galaxy","7","0.0434548854827881","3"
"8galaxy","8","0.0732071399688721","4"
"8galaxy","9","0.043510913848877","2"
"8galaxy","10","0.072883129119873","3"
"9insurance","1","0.0611100196838379","39"
"9insurance","2","0.0959658622741699","38"
"9insurance","3","0.062330961227417","37"
"9insurance","4","0.0922019481658936","40"
"9insurance","5","0.0606141090393066","42"
"9insurance","6","0.0920770168304443","39"
"9insurance","7","0.0622410774230957","30"
"9insurance","8","0.0615408420562744","33"
"9insurance","9","0.0888738632202148","48"
"9insurance","10","0.0617918968200684","38"
"10factors","1","0.0919089317321777","65"
"10factors","2","0.0615170001983643","64"
"10factors","3","0.060683012008667","67"
"10factors","4","0.0885670185089111","68"
"10factors","5","0.0608282089233398","67"
"10factors","6","0.0941982269287109","73"
"10factors","7","0.0598058700561523","45"
"10factors","8","0.061873197555542","71"
"10factors","9","0.0649118423461914","68"
"10factors","10","0.0620760917663574","65"
"11hfinder","1","0.158907890319824","11"
"11hfinder","2","0.235404968261719","17"
"11hfinder","3","0.163050889968872","16"
"11hfinder","4","0.159081935882568","11"
"11hfinder","5","0.46641993522644","10"
"11hfinder","6","0.160362005233765","15"
"11hfinder","7","0.128266096115112","11"
"11hfinder","8","0.128297090530396","19"
"11hfinder","9","0.118404150009155","10"
"11hfinder","10","0.139341115951538","9"
"12hepar","1","0.223825931549072","69"
"12hepar","2","0.203645944595337","54"
"12hepar","3","0.220306873321533","36"
"12hepar","4","0.190531969070435","53"
"12hepar","5","0.220654010772705","46"
"12hepar","6","0.307800054550171","49"
"12hepar","7","0.203044891357422","45"
"12hepar","8","0.165239095687866","73"
"12hepar","9","0.184845924377441","52"
"12hepar","10","0.172230005264282","69"
