"V1","V2","V3","V4","V5","V6"
"13pathfinder","1","0.38786792755127","187","0.707692307692308","0.00552820247041548"
"13pathfinder","2","0.352286815643311","169","0.733333333333333","0.00492355532521379"
"13pathfinder","3","0.523383855819702","187","0.697435897435897","0.00570095879761596"
"13pathfinder","4","0.283327102661133","173","0.712820512820513","0.00500993348881403"
"13pathfinder","5","0.320976972579956","168","0.738461538461539","0.00509631165241427"
"13pathfinder","6","0.27128791809082","173","0.717948717948718","0.00492355532521379"
"13pathfinder","7","0.367277145385742","170","0.733333333333333","0.0047507989980133"
"13pathfinder","8","0.271884918212891","146","0.78974358974359","0.00414615185281161"
"13pathfinder","9","0.339049100875854","187","0.697435897435897","0.00544182430681524"
"13pathfinder","10","0.271305084228516","177","0.753846153846154","0.00423253001641185"
"14munin","1","0.644125938415527","131","0.897435897435897","0.00246067316987433"
"14munin","2","0.667305946350098","136","0.904761904761905","0.00246067316987433"
"14munin","3","0.708516836166382","138","0.897435897435897","0.00248996689808712"
"14munin","4","0.693055868148804","112","0.93040293040293","0.00216773588774643"
"14munin","5","0.648795127868652","112","0.919413919413919","0.00219702961595922"
"14munin","6","0.994309902191162","140","0.919413919413919","0.00237279198523596"
"14munin","7","0.69964599609375","118","0.934065934065934","0.00213844215953364"
"14munin","8","0.755073070526123","120","0.926739926739927","0.00219702961595922"
"14munin","9","0.70120906829834","108","0.904761904761905","0.00207985470310806"
"14munin","10","0.910161018371582","128","0.923076923076923","0.00190409233383133"
"15andes","1","1.4347550868988","198","0.943786982248521","0.00339651806052717"
"15andes","2","1.81442785263062","207","0.946745562130177","0.00331516433452652"
"15andes","3","1.02492809295654","208","0.949704142011834","0.0035999023755288"
"15andes","4","1.10998487472534","204","0.937869822485207","0.00339651806052717"
"15andes","5","1.02868700027466","223","0.93491124260355","0.00378294825903026"
"15andes","6","1.0452618598938","214","0.940828402366864","0.00353888708102831"
"15andes","7","1.05280518531799","206","0.961538461538462","0.00362024080702896"
"15andes","8","1.16611003875732","207","0.952662721893491","0.00347787178652782"
"15andes","9","1.26693391799927","213","0.940828402366864","0.00353888708102831"
"15andes","10","1.0793879032135","224","0.92603550295858","0.00366091767002929"
"16diabetes","1","2.67793893814087","271","0.855481727574751","0.00109699564740437"
"16diabetes","2","2.84733700752258","276","0.862126245847176","0.00108519999528174"
"16diabetes","3","3.15243983268738","277","0.86046511627907","0.00107340434315911"
"16diabetes","4","2.66526007652283","270","0.86046511627907","0.00107340434315911"
"16diabetes","5","2.87575197219849","250","0.87375415282392","0.00101442608254597"
"16diabetes","6","3.75164103507996","274","0.848837209302326","0.00110289347346568"
"16diabetes","7","2.62478399276733","261","0.870431893687708","0.00104391521285254"
"16diabetes","8","3.10242509841919","274","0.862126245847176","0.00112058695164962"
"16diabetes","9","3.10385513305664","245","0.87375415282392","0.00101442608254597"
"16diabetes","10","3.20456886291504","256","0.863787375415282","0.00100263043042335"
"17pigs","1","3.48500490188599","631","0.625","0.00190748935114346"
"17pigs","2","3.99431490898132","625","0.643581081081081","0.00181961043794715"
"17pigs","3","4.63686203956604","624","0.638513513513513","0.00181961043794715"
"17pigs","4","3.24024987220764","636","0.636824324324324","0.00186613456846284"
"17pigs","5","3.31472706794739","617","0.646959459459459","0.00181444109011207"
"17pigs","6","3.96931219100952","622","0.635135135135135","0.00184028782928746"
"17pigs","7","3.61726593971252","607","0.648648648648649","0.00181444109011207"
"17pigs","8","3.49926400184631","644","0.616554054054054","0.00190232000330838"
"17pigs","9","4.16964912414551","642","0.623310810810811","0.00190232000330838"
"17pigs","10","4.65221500396729","641","0.628378378378378","0.00191782804681361"
"18link","1","9.97554993629456","1456","0.470222222222222","0.00193748360701247"
"18link","2","8.76511311531067","1397","0.495111111111111","0.00186281773678175"
"18link","3","11.4668171405792","1427","0.48","0.00188962086968508"
"18link","4","11.201663017273","1477","0.467555555555556","0.00194897066397104"
"18link","5","10.221333026886","1451","0.472888888888889","0.00192599655005389"
"18link","6","10.2040610313416","1510","0.456888888888889","0.0020064059487639"
"18link","7","11.2752850055695","1449","0.48","0.00192791105954699"
"18link","8","8.61336016654968","1460","0.469333333333333","0.00193939811650556"
"18link","9","10.0098750591278","1461","0.471111111111111","0.00194131262599866"
"18link","10","8.4378490447998","1469","0.458666666666667","0.00194322713549175"
