dataset,iter,d_cpdag,Time,SHDs,TPR,FPR
1dsep,1,2,0.007571220397949219,1.0,0.8333333333333334,0.0
1dsep,2,2,0.0939786434173584,1.0,0.8333333333333334,0.0
1dsep,3,2,0.0029747486114501953,1.0,0.8333333333333334,0.0
1dsep,4,2,0.0026793479919433594,1.0,0.8333333333333334,0.0
1dsep,5,2,0.0031549930572509766,1.0,0.8333333333333334,0.0
1dsep,6,2,0.0033681392669677734,1.0,0.8333333333333334,0.0
1dsep,7,2,0.046465158462524414,1.0,0.8333333333333334,0.0
1dsep,8,2,0.0023674964904785156,1.0,0.8333333333333334,0.0
1dsep,9,2,0.0027844905853271484,1.0,0.8333333333333334,0.0
1dsep,10,2,0.0028650760650634766,1.0,0.8333333333333334,0.0
2asia,1,2,0.006541013717651367,1.0,0.875,0.0
2asia,2,2,0.004866361618041992,1.0,0.875,0.0
2asia,3,2,0.007977962493896484,1.0,0.875,0.0
2asia,4,2,0.05525803565979004,1.0,0.875,0.0
2asia,5,2,0.005620718002319336,1.0,0.875,0.0
2asia,6,2,0.008732080459594727,1.0,0.875,0.0
2asia,7,2,0.061588287353515625,1.0,0.875,0.0
2asia,8,2,0.00682377815246582,1.0,0.875,0.0
2asia,9,2,0.005911588668823242,1.0,0.875,0.0
2asia,10,2,0.0051686763763427734,1.0,0.875,0.0
3bowling,1,2,0.012613773345947266,1.0,0.9090909090909091,0.0
3bowling,2,2,0.011985540390014648,1.0,0.9090909090909091,0.0
3bowling,3,2,0.010866165161132812,1.0,0.9090909090909091,0.0
3bowling,4,2,0.008337020874023438,1.0,0.9090909090909091,0.0
3bowling,5,2,0.010781526565551758,1.0,0.9090909090909091,0.0
3bowling,6,3,0.0076389312744140625,2.0,0.9090909090909091,0.014285714285714285
3bowling,7,2,0.007862329483032227,1.0,0.9090909090909091,0.0
3bowling,8,2,0.007725715637207031,1.0,0.9090909090909091,0.0
3bowling,9,2,0.009414196014404297,1.0,0.9090909090909091,0.0
3bowling,10,3,0.0067179203033447266,2.0,0.9090909090909091,0.014285714285714285
4insuranceSmall,1,8,0.1706538200378418,1.0,0.96,0.0
4insuranceSmall,2,8,0.17373991012573242,1.0,0.96,0.0
4insuranceSmall,3,8,0.15452861785888672,1.0,0.96,0.0
4insuranceSmall,4,8,0.07962393760681152,1.0,0.96,0.0
4insuranceSmall,5,8,0.1518394947052002,1.0,0.96,0.0
4insuranceSmall,6,8,0.08922362327575684,1.0,0.96,0.0
4insuranceSmall,7,8,0.08379554748535156,2.0,0.92,0.0
4insuranceSmall,8,8,0.08691143989562988,1.0,0.96,0.0
4insuranceSmall,9,8,0.10421395301818848,1.0,0.96,0.0
4insuranceSmall,10,8,0.07131838798522949,1.0,0.96,0.0
5rain,1,2,0.16686224937438965,1.0,0.9444444444444444,0.0
5rain,2,2,0.08377861976623535,1.0,0.9444444444444444,0.0
5rain,3,2,0.1908729076385498,1.0,0.9444444444444444,0.0
5rain,4,2,0.07561421394348145,1.0,0.9444444444444444,0.0
5rain,5,2,0.07591509819030762,1.0,0.9444444444444444,0.0
5rain,6,2,0.10460138320922852,1.0,0.9444444444444444,0.0
