dataset,iter,d_cpdag,Time,SHDs,TPR,FPR
1dsep,1,2,0.006190299987792969,1.0,0.8333333333333334,0.0
1dsep,2,2,0.0026280879974365234,1.0,0.8333333333333334,0.0
1dsep,3,2,0.002875804901123047,1.0,0.8333333333333334,0.0
1dsep,4,2,0.004284858703613281,1.0,0.8333333333333334,0.0
1dsep,5,2,0.002519369125366211,1.0,0.8333333333333334,0.0
1dsep,6,2,0.0025098323822021484,1.0,0.8333333333333334,0.0
1dsep,7,2,0.0022079944610595703,1.0,0.8333333333333334,0.0
1dsep,8,2,0.002271413803100586,1.0,0.8333333333333334,0.0
1dsep,9,2,0.0022783279418945312,1.0,0.8333333333333334,0.0
1dsep,10,2,0.0481264591217041,1.0,0.8333333333333334,0.0
2asia,1,2,0.004049539566040039,1.0,0.875,0.0
2asia,2,2,0.0048274993896484375,1.0,0.875,0.0
2asia,3,2,0.0043637752532958984,1.0,0.875,0.0
2asia,4,2,0.003565549850463867,1.0,0.875,0.0
2asia,5,2,0.008040428161621094,1.0,0.875,0.0
2asia,6,2,0.004701375961303711,1.0,0.875,0.0
2asia,7,2,0.005127906799316406,1.0,0.875,0.0
2asia,8,2,0.05687665939331055,1.0,0.875,0.0
2asia,9,2,0.00437164306640625,1.0,0.875,0.0
2asia,10,2,0.004698753356933594,1.0,0.875,0.0
3bowling,1,2,0.008230447769165039,1.0,0.9090909090909091,0.0
3bowling,2,2,0.009796619415283203,1.0,0.9090909090909091,0.0
3bowling,3,2,0.011237859725952148,1.0,0.9090909090909091,0.0
3bowling,4,2,0.06950187683105469,1.0,0.9090909090909091,0.0
3bowling,5,2,0.006411314010620117,1.0,0.9090909090909091,0.0
3bowling,6,2,0.01102304458618164,1.0,0.9090909090909091,0.0
3bowling,7,2,0.010274887084960938,1.0,0.9090909090909091,0.0
3bowling,8,2,0.010675430297851562,1.0,0.9090909090909091,0.0
3bowling,9,2,0.012148618698120117,1.0,0.9090909090909091,0.0
3bowling,10,2,0.006088972091674805,1.0,0.9090909090909091,0.0
4insuranceSmall,1,8,0.17155051231384277,1.0,0.96,0.0
4insuranceSmall,2,8,0.17913246154785156,1.0,0.96,0.0
4insuranceSmall,3,8,0.09490656852722168,1.0,0.96,0.0
4insuranceSmall,4,8,0.10157299041748047,1.0,0.96,0.0
4insuranceSmall,5,9,0.17929434776306152,2.0,0.96,0.005
4insuranceSmall,6,8,0.10914182662963867,1.0,0.96,0.0
