dataset,iter,d_cpdag,Time,SHDs,TPR,FPR
1dsep,1,2,0.006623506546020508,1.0,0.6666666666666666,0.03333333333333333
1dsep,2,2,0.004676342010498047,1.0,0.6666666666666666,0.03333333333333333
1dsep,3,2,0.0028371810913085938,1.0,0.6666666666666666,0.03333333333333333
1dsep,4,2,0.0024378299713134766,1.0,0.6666666666666666,0.03333333333333333
1dsep,5,2,0.004126548767089844,1.0,0.6666666666666666,0.03333333333333333
1dsep,6,2,0.0030629634857177734,1.0,0.6666666666666666,0.03333333333333333
1dsep,7,2,0.003278017044067383,1.0,0.6666666666666666,0.03333333333333333
1dsep,8,2,0.0024421215057373047,1.0,0.6666666666666666,0.03333333333333333
1dsep,9,2,0.004205465316772461,1.0,0.6666666666666666,0.03333333333333333
1dsep,10,2,0.002941608428955078,1.0,0.6666666666666666,0.03333333333333333
2asia,1,6,0.004578113555908203,2.0,0.75,0.03571428571428571
2asia,2,6,0.006522178649902344,2.0,0.75,0.03571428571428571
2asia,3,6,0.00868368148803711,2.0,0.75,0.03571428571428571
2asia,4,6,0.05475783348083496,2.0,0.75,0.03571428571428571
2asia,5,6,0.007032155990600586,2.0,0.75,0.03571428571428571
2asia,6,6,0.01290273666381836,2.0,0.75,0.03571428571428571
2asia,7,6,0.006110668182373047,2.0,0.75,0.03571428571428571
2asia,8,6,0.006565570831298828,2.0,0.75,0.03571428571428571
2asia,9,6,0.01232004165649414,2.0,0.75,0.03571428571428571
2asia,10,6,0.07351183891296387,2.0,0.75,0.03571428571428571
3bowling,1,2,0.007401466369628906,1.0,0.8181818181818182,0.014285714285714285
3bowling,2,2,0.008919000625610352,1.0,0.8181818181818182,0.014285714285714285
3bowling,3,2,0.01418614387512207,1.0,0.8181818181818182,0.014285714285714285
3bowling,4,2,0.011261224746704102,1.0,0.8181818181818182,0.014285714285714285
3bowling,5,2,0.009252309799194336,1.0,0.8181818181818182,0.014285714285714285
3bowling,6,2,0.016858577728271484,1.0,0.8181818181818182,0.014285714285714285
3bowling,7,2,0.011159658432006836,1.0,0.8181818181818182,0.014285714285714285
3bowling,8,2,0.018879175186157227,1.0,0.8181818181818182,0.014285714285714285
3bowling,9,2,0.009237051010131836,1.0,0.8181818181818182,0.014285714285714285
3bowling,10,2,0.07419896125793457,1.0,0.8181818181818182,0.014285714285714285
4insuranceSmall,1,11,0.19896245002746582,2.0,0.92,0.01
4insuranceSmall,2,11,0.06270051002502441,2.0,0.92,0.01
4insuranceSmall,3,11,0.09798860549926758,2.0,0.92,0.01
4insuranceSmall,4,11,0.08694028854370117,2.0,0.92,0.01
4insuranceSmall,5,11,0.10579133033752441,2.0,0.92,0.01
4insuranceSmall,6,11,0.0927882194519043,2.0,0.92,0.01
4insuranceSmall,7,11,0.08797860145568848,3.0,0.88,0.01
4insuranceSmall,8,10,0.10296177864074707,1.0,0.92,0.005
4insuranceSmall,9,10,0.09133410453796387,1.0,0.92,0.005
4insuranceSmall,10,11,0.09128570556640625,2.0,0.92,0.01
5rain,1,4,0.023249149322509766,1.0,0.8888888888888888,0.0056179775280898875
5rain,2,6,0.08833193778991699,2.0,0.8888888888888888,0.011235955056179775
5rain,3,4,0.08478569984436035,1.0,0.8888888888888888,0.0056179775280898875
5rain,4,4,0.01692509651184082,1.0,0.8888888888888888,0.0056179775280898875
5rain,5,4,0.10156655311584473,1.0,0.8888888888888888,0.0056179775280898875
