"dataset","instance","Time","d_cpdag","SHD","SHDs","TPR","FPR"
"1dsep",1,0.0858871936798096,2,1,1,0.833333333333333,0
"1dsep",2,0.00557923316955566,2,1,1,0.833333333333333,0
"1dsep",3,0.00121474266052246,2,1,1,0.833333333333333,0
"1dsep",4,0.00120353698730469,2,1,1,0.833333333333333,0
"1dsep",5,0.00155353546142578,2,1,1,0.833333333333333,0
"1dsep",6,0.00128746032714844,2,1,1,0.833333333333333,0
"1dsep",7,0.00118112564086914,2,1,1,0.833333333333333,0
"1dsep",8,0.00144600868225098,2,1,1,0.833333333333333,0
"1dsep",9,0.00196552276611328,2,1,1,0.833333333333333,0
"1dsep",10,0.00110125541687012,4,2,2,0.833333333333333,0.0333333333333333
"2asia",1,0.00223898887634277,4,2,2,0.75,0
"2asia",2,0.00209617614746094,4,2,2,0.75,0
"2asia",3,0.00217795372009277,4,2,2,0.75,0
"2asia",4,0.0025484561920166,4,2,2,0.75,0
"2asia",5,0.00213527679443359,4,2,2,0.75,0
"2asia",6,0.00217866897583008,4,2,2,0.75,0
"2asia",7,0.00216960906982422,4,2,2,0.75,0
"2asia",8,0.00213503837585449,4,2,2,0.75,0
"2asia",9,0.00475764274597168,4,2,2,0.75,0
"2asia",10,0.00238990783691406,4,2,2,0.75,0
"3bowling",1,0.0029294490814209,2,1,1,0.909090909090909,0
"3bowling",2,0.00983548164367676,2,1,1,0.909090909090909,0
"3bowling",3,0.00309348106384277,2,1,1,0.909090909090909,0
"3bowling",4,0.00301027297973633,2,1,1,0.909090909090909,0
"3bowling",5,0.00289249420166016,2,1,1,0.909090909090909,0
"3bowling",6,0.00926661491394043,2,1,1,0.909090909090909,0
"3bowling",7,0.00339961051940918,2,1,1,0.909090909090909,0
"3bowling",8,0.0030205249786377,2,1,1,0.909090909090909,0
"3bowling",9,0.00311040878295898,2,1,1,0.909090909090909,0
"3bowling",10,0.0108742713928223,2,1,1,0.909090909090909,0
"4insuranceSmall",1,0.0127782821655273,8,1,1,0.96,0
"4insuranceSmall",2,0.0105969905853271,9,2,2,0.96,0.005
"4insuranceSmall",3,0.0207245349884033,8,1,1,0.96,0
"4insuranceSmall",4,0.0123231410980225,8,1,1,0.96,0
"4insuranceSmall",5,0.0105936527252197,8,1,1,0.96,0
"4insuranceSmall",6,0.0106053352355957,8,1,1,0.96,0
"4insuranceSmall",7,0.0111398696899414,8,1,1,0.96,0
"4insuranceSmall",8,0.0218820571899414,8,1,1,0.96,0
"4insuranceSmall",9,0.0122010707855225,8,1,1,0.96,0
"4insuranceSmall",10,0.0114977359771729,8,1,1,0.96,0
"5rain",1,0.0102634429931641,2,1,1,0.944444444444444,0
"5rain",2,0.00957512855529785,2,1,1,0.944444444444444,0
"5rain",3,0.0221076011657715,2,1,1,0.944444444444444,0
"5rain",4,0.0102486610412598,2,1,1,0.944444444444444,0
"5rain",5,0.010606050491333,2,1,1,0.944444444444444,0
"5rain",6,0.0102400779724121,2,1,1,0.944444444444444,0
"5rain",7,0.00919985771179199,3,2,2,0.944444444444444,0.00561797752808989
"5rain",8,0.0628747940063477,2,1,1,0.944444444444444,0
"5rain",9,0.0108203887939453,2,1,1,0.944444444444444,0
"5rain",10,0.0110349655151367,2,1,1,0.944444444444444,0
"6cloud",1,0.0240969657897949,2,1,1,0.947368421052632,0
"6cloud",2,0.0139741897583008,2,1,1,0.947368421052632,0
"6cloud",3,0.0146427154541016,4,2,2,0.894736842105263,0
"6cloud",4,0.0140008926391602,4,2,2,0.894736842105263,0
"6cloud",5,0.0141627788543701,4,2,2,0.894736842105263,0
"6cloud",6,0.0124423503875732,2,1,1,0.947368421052632,0
"6cloud",7,0.0133044719696045,4,2,2,0.894736842105263,0
"6cloud",8,0.0120468139648438,2,1,1,0.947368421052632,0
"6cloud",9,0.0124137401580811,4,2,2,0.894736842105263,0
"6cloud",10,0.0144650936126709,4,2,2,0.894736842105263,0
"7funnel",1,0.0328094959259033,5,2,2,0.888888888888889,0
"7funnel",2,0.0195865631103516,6,3,3,0.833333333333333,0
"7funnel",3,0.0332310199737549,6,3,3,0.833333333333333,0
"7funnel",4,0.0174639225006104,6,3,3,0.833333333333333,0
"7funnel",5,0.0174436569213867,6,3,3,0.833333333333333,0
"7funnel",6,0.0207974910736084,6,3,3,0.833333333333333,0
"7funnel",7,0.0486652851104736,3,2,2,0.888888888888889,0
"7funnel",8,0.0203571319580078,6,3,3,0.833333333333333,0
"7funnel",9,0.0174267292022705,2,1,1,0.944444444444444,0
"7funnel",10,0.0181064605712891,2,1,1,0.944444444444444,0
"8galaxy",1,0.0267999172210693,2,2,2,0.909090909090909,0
"8galaxy",2,0.0391879081726074,5,5,5,0.818181818181818,0.00264550264550265
"8galaxy",3,0.0257313251495361,5,4,4,0.818181818181818,0
"8galaxy",4,0.0385489463806152,5,4,4,0.818181818181818,0
"8galaxy",5,0.0252294540405273,6,5,5,0.818181818181818,0.00264550264550265
"8galaxy",6,0.0394065380096436,2,2,2,0.909090909090909,0
"8galaxy",7,0.0260000228881836,5,4,4,0.818181818181818,0
"8galaxy",8,0.0229091644287109,3,3,3,0.863636363636364,0
"8galaxy",9,0.0251584053039551,2,2,2,0.909090909090909,0
"8galaxy",10,0.0253562927246094,5,4,4,0.818181818181818,0
"9insurance",1,0.0816340446472168,14,6,6,0.884615384615385,0
"9insurance",2,0.0573160648345947,14,6,6,0.884615384615385,0
"9insurance",3,0.0685102939605713,11,3,3,0.942307692307692,0
"9insurance",4,0.06715989112854,13,5,5,0.903846153846154,0
"9insurance",5,0.0563480854034424,12,4,4,0.923076923076923,0
"9insurance",6,0.0668854713439941,14,5,5,0.903846153846154,0
"9insurance",7,0.0565919876098633,13,5,5,0.903846153846154,0
"9insurance",8,0.0604796409606934,13,5,5,0.903846153846154,0
"9insurance",9,0.0711798667907715,12,4,4,0.923076923076923,0
"9insurance",10,0.0580441951751709,13,5,5,0.903846153846154,0
"10factors",1,0.0583765506744385,35,14,14,0.794117647058823,0
"10factors",2,0.0703411102294922,30,14,14,0.794117647058823,0
"10factors",3,0.0732953548431396,30,14,14,0.794117647058823,0
"10factors",4,0.0579586029052734,33,15,15,0.779411764705882,0
"10factors",5,0.0781564712524414,32,17,17,0.75,0
"10factors",6,0.0737791061401367,33,16,16,0.764705882352941,0
"10factors",7,0.0739080905914307,31,16,16,0.764705882352941,0
"10factors",8,0.072547435760498,29,13,13,0.808823529411765,0
"10factors",9,0.0580112934112549,32,15,15,0.779411764705882,0
"10factors",10,0.0742518901824951,30,15,15,0.779411764705882,0
"11hfinder",1,1.19051623344421,13,9,9,0.863636363636364,0
"11hfinder",2,1.11982822418213,11,8,8,0.878787878787879,0
"11hfinder",3,1.16659927368164,12,9,9,0.863636363636364,0
"11hfinder",4,1.21414351463318,17,11,11,0.833333333333333,0
"11hfinder",5,1.19943237304688,12,8,8,0.878787878787879,0
"11hfinder",6,1.17155790328979,15,10,10,0.848484848484849,0
"11hfinder",7,1.25433015823364,14,10,10,0.848484848484849,0
"11hfinder",8,1.19948697090149,17,11,11,0.833333333333333,0
"11hfinder",9,1.26214933395386,15,10,10,0.848484848484849,0
