"dataset","instance","Time","d_cpdag","SHD","SHDs","TPR","FPR"
"1dsep",1,0.0880217552185059,2,1,1,0.833333333333333,0
"1dsep",2,0.00502729415893555,2,1,1,0.833333333333333,0
"1dsep",3,0.0014350414276123,2,1,1,0.833333333333333,0
"1dsep",4,0.00324869155883789,2,1,1,0.833333333333333,0
"1dsep",5,0.00153636932373047,3,2,2,0.833333333333333,0.0333333333333333
"1dsep",6,0.00186491012573242,2,1,1,0.833333333333333,0
"1dsep",7,0.00152492523193359,2,1,1,0.833333333333333,0
"1dsep",8,0.00108432769775391,2,1,1,0.833333333333333,0
"1dsep",9,0.00152111053466797,2,1,1,0.833333333333333,0
"1dsep",10,0.00129342079162598,2,1,1,0.833333333333333,0
"2asia",1,0.00320696830749512,2,1,1,0.875,0
"2asia",2,0.00301265716552734,2,1,1,0.875,0
"2asia",3,0.00287437438964844,2,1,1,0.875,0
"2asia",4,0.00378799438476562,2,1,1,0.875,0
"2asia",5,0.00277972221374512,3,2,2,0.875,0.0178571428571429
"2asia",6,0.00257205963134766,2,1,1,0.875,0
"2asia",7,0.00278878211975098,2,1,1,0.875,0
"2asia",8,0.00297093391418457,2,1,1,0.875,0
"2asia",9,0.00267386436462402,2,1,1,0.875,0
"2asia",10,0.00282692909240723,2,1,1,0.875,0
"3bowling",1,0.00358486175537109,2,1,1,0.909090909090909,0
"3bowling",2,0.0129177570343018,2,1,1,0.909090909090909,0
"3bowling",3,0.00402235984802246,2,1,1,0.909090909090909,0
"3bowling",4,0.00341534614562988,2,1,1,0.909090909090909,0
"3bowling",5,0.00548195838928223,2,1,1,0.909090909090909,0
"3bowling",6,0.0118193626403809,2,1,1,0.909090909090909,0
"3bowling",7,0.00347638130187988,2,1,1,0.909090909090909,0
"3bowling",8,0.00307440757751465,2,1,1,0.909090909090909,0
"3bowling",9,0.00391244888305664,2,1,1,0.909090909090909,0
"3bowling",10,0.00301170349121094,2,1,1,0.909090909090909,0
"4insuranceSmall",1,0.0110116004943848,8,1,1,0.96,0
"4insuranceSmall",2,0.0135891437530518,8,1,1,0.96,0
"4insuranceSmall",3,0.0224134922027588,8,1,1,0.96,0
"4insuranceSmall",4,0.0103092193603516,8,1,1,0.96,0
"4insuranceSmall",5,0.0139167308807373,9,2,2,0.96,0.005
"4insuranceSmall",6,0.0106585025787354,8,1,1,0.96,0
"4insuranceSmall",7,0.0107991695404053,9,2,2,0.96,0.005
"4insuranceSmall",8,0.0125949382781982,8,1,1,0.96,0
"4insuranceSmall",9,0.0112462043762207,8,1,1,0.96,0
"4insuranceSmall",10,0.0103178024291992,8,1,1,0.96,0
"5rain",1,0.00930047035217285,2,1,1,0.944444444444444,0
"5rain",2,0.00903558731079102,2,1,1,0.944444444444444,0
"5rain",3,0.0101783275604248,2,1,1,0.944444444444444,0
"5rain",4,0.012331485748291,2,1,1,0.944444444444444,0
"5rain",5,0.00986862182617188,2,1,1,0.944444444444444,0
"5rain",6,0.0309703350067139,3,2,2,0.944444444444444,0.00561797752808989
"5rain",7,0.00886702537536621,2,1,1,0.944444444444444,0
"5rain",8,0.0101449489593506,2,1,1,0.944444444444444,0
"5rain",9,0.00978636741638184,2,1,1,0.944444444444444,0
"5rain",10,0.00872421264648438,2,1,1,0.944444444444444,0
"6cloud",1,0.012014627456665,2,1,1,0.947368421052632,0
"6cloud",2,0.0120077133178711,2,1,1,0.947368421052632,0
"6cloud",3,0.011909008026123,2,1,1,0.947368421052632,0
"6cloud",4,0.0208284854888916,2,1,1,0.947368421052632,0
"6cloud",5,0.0119268894195557,2,1,1,0.947368421052632,0
"6cloud",6,0.0139472484588623,2,1,1,0.947368421052632,0
"6cloud",7,0.0118067264556885,2,1,1,0.947368421052632,0
"6cloud",8,0.0115838050842285,2,1,1,0.947368421052632,0
"6cloud",9,0.0233719348907471,2,1,1,0.947368421052632,0
"6cloud",10,0.012418270111084,2,1,1,0.947368421052632,0
"7funnel",1,0.0159065723419189,2,1,1,0.944444444444444,0
"7funnel",2,0.0179057121276855,2,1,1,0.944444444444444,0
"7funnel",3,0.0173695087432861,2,1,1,0.944444444444444,0
"7funnel",4,0.0167050361633301,2,1,1,0.944444444444444,0
"7funnel",5,0.0174157619476318,2,1,1,0.944444444444444,0
"7funnel",6,0.0171442031860352,2,1,1,0.944444444444444,0
"7funnel",7,0.0183796882629395,2,1,1,0.944444444444444,0
"7funnel",8,0.0190837383270264,2,1,1,0.944444444444444,0
"7funnel",9,0.0164389610290527,2,1,1,0.944444444444444,0
"7funnel",10,0.0167207717895508,2,1,1,0.944444444444444,0
"8galaxy",1,0.0248322486877441,1,1,1,0.954545454545455,0
"8galaxy",2,0.0242710113525391,1,1,1,0.954545454545455,0
"8galaxy",3,0.0231561660766602,1,1,1,0.954545454545455,0
"8galaxy",4,0.0214717388153076,1,1,1,0.954545454545455,0
"8galaxy",5,0.0237207412719727,1,1,1,0.954545454545455,0
"8galaxy",6,0.0212485790252686,1,1,1,0.954545454545455,0
"8galaxy",7,0.0262107849121094,1,1,1,0.954545454545455,0
"8galaxy",8,0.0353200435638428,1,1,1,0.954545454545455,0
"8galaxy",9,0.0210351943969727,1,1,1,0.954545454545455,0
"8galaxy",10,0.0213680267333984,1,1,1,0.954545454545455,0
"9insurance",1,0.0651535987854004,9,1,1,0.980769230769231,0
"9insurance",2,0.0523927211761475,9,1,1,0.980769230769231,0
"9insurance",3,0.0791933536529541,10,2,2,0.980769230769231,0.00147710487444609
"9insurance",4,0.0656712055206299,9,1,1,0.980769230769231,0
"9insurance",5,0.0528318881988525,9,1,1,0.980769230769231,0
"9insurance",6,0.067232608795166,9,1,1,0.980769230769231,0
"9insurance",7,0.0643482208251953,9,1,1,0.980769230769231,0
"9insurance",8,0.0529861450195312,9,1,1,0.980769230769231,0
"9insurance",9,0.0692853927612305,9,1,1,0.980769230769231,0
"9insurance",10,0.0694296360015869,9,1,1,0.980769230769231,0
"10factors",1,0.0551342964172363,13,4,4,0.941176470588235,0
"10factors",2,0.0687589645385742,19,5,5,0.926470588235294,0
"10factors",3,0.0698387622833252,12,3,3,0.955882352941177,0
"10factors",4,0.0696344375610352,14,4,4,0.941176470588235,0
"10factors",5,0.0529625415802002,12,4,4,0.941176470588235,0
"10factors",6,0.0551393032073975,13,4,4,0.955882352941177,0.00151285930408472
"10factors",7,0.0689494609832764,11,3,3,0.955882352941177,0
"10factors",8,0.0836822986602783,9,2,2,0.970588235294118,0
"10factors",9,0.0741755962371826,11,3,3,0.955882352941177,0
"10factors",10,0.0718317031860352,15,5,5,0.926470588235294,0
"11hfinder",1,1.12836742401123,1,1,1,0.984848484848485,0
"11hfinder",2,1.04895567893982,1,1,1,0.984848484848485,0
"11hfinder",3,1.1005871295929,3,2,2,0.96969696969697,0
"11hfinder",4,1.08854746818542,1,1,1,0.984848484848485,0
"11hfinder",5,1.15183806419373,3,2,2,0.96969696969697,0
"11hfinder",6,1.25633525848389,1,1,1,0.984848484848485,0
"11hfinder",7,1.45201277732849,1,1,1,0.984848484848485,0
"11hfinder",8,0.96439003944397,1,1,1,0.984848484848485,0
"11hfinder",9,0.967272520065308,1,1,1,0.984848484848485,0
"11hfinder",10,1.10599780082703,1,1,1,0.984848484848485,0
"12hepar",1,2.55685782432556,12,11,11,0.910569105691057,0
"12hepar",2,2.5182466506958,10,9,9,0.926829268292683,0
"12hepar",3,2.53041577339172,11,10,10,0.91869918699187,0
"12hepar",4,2.51415324211121,8,7,7,0.943089430894309,0
"12hepar",5,2.58611035346985,10,9,9,0.926829268292683,0
"12hepar",6,2.79935503005981,11,10,10,0.91869918699187,0
"12hepar",7,2.3569540977478,8,7,7,0.943089430894309,0
"12hepar",8,2.38752198219299,9,8,8,0.934959349593496,0
"12hepar",9,2.35926342010498,9,8,8,0.934959349593496,0
"12hepar",10,2.46403503417969,7,6,6,0.951219512195122,0
