"dataset","instance","Time","d_cpdag","SHD","SHDs","TPR","FPR"
"1dsep",1,0.129260778427124,2,1,1,0.833333333333333,0
"1dsep",2,0.00532746315002441,2,1,1,0.833333333333333,0
"1dsep",3,0.00082087516784668,2,1,1,0.833333333333333,0
"1dsep",4,0.000959157943725586,2,1,1,0.833333333333333,0
"1dsep",5,0.000621318817138672,2,1,1,0.833333333333333,0
"1dsep",6,0.000609159469604492,2,1,1,0.833333333333333,0
"1dsep",7,0.000660181045532227,2,1,1,0.833333333333333,0
"1dsep",8,0.000646352767944336,2,1,1,0.833333333333333,0
"1dsep",9,0.00063323974609375,2,1,1,0.833333333333333,0
"1dsep",10,0.000701904296875,2,1,1,0.833333333333333,0
"2asia",1,0.000791072845458984,3,2,2,0.875,0.0178571428571429
"2asia",2,0.000791311264038086,2,1,1,0.875,0
"2asia",3,0.000773191452026367,0,0,0,1,0
"2asia",4,0.000772476196289062,3,2,2,0.875,0.0178571428571429
"2asia",5,0.0009002685546875,4,2,2,0.875,0.0178571428571429
"2asia",6,0.000812292098999023,4,3,3,0.875,0.0357142857142857
"2asia",7,0.000908374786376953,0,0,0,1,0
"2asia",8,0.000965595245361328,3,2,2,0.875,0.0178571428571429
"2asia",9,0.000829696655273438,2,1,1,0.875,0
"2asia",10,0.00101494789123535,3,2,2,0.875,0.0178571428571429
"3bowling",1,0.00112628936767578,2,1,1,0.909090909090909,0
"3bowling",2,0.000997066497802734,8,4,4,0.909090909090909,0.0428571428571429
"3bowling",3,0.00101900100708008,10,6,6,0.909090909090909,0.0714285714285714
"3bowling",4,0.00129079818725586,4,2,2,0.909090909090909,0.0142857142857143
"3bowling",5,0.00128507614135742,9,6,6,0.909090909090909,0.0714285714285714
"3bowling",6,0.000913381576538086,5,3,3,0.909090909090909,0.0285714285714286
"3bowling",7,0.000896930694580078,8,7,7,0.909090909090909,0.0857142857142857
"3bowling",8,0.00126028060913086,8,4,4,0.909090909090909,0.0428571428571429
"3bowling",9,0.00100374221801758,10,7,7,0.909090909090909,0.0857142857142857
"3bowling",10,0.000883102416992188,4,2,2,0.909090909090909,0.0142857142857143
"4insuranceSmall",1,0.00985574722290039,14,6,6,0.96,0.025
"4insuranceSmall",2,0.00171446800231934,12,5,5,0.96,0.02
"4insuranceSmall",3,0.00162887573242188,12,4,4,0.96,0.015
"4insuranceSmall",4,0.00152039527893066,14,6,6,0.96,0.025
"4insuranceSmall",5,0.00197553634643555,12,4,4,0.96,0.015
"4insuranceSmall",6,0.00209569931030273,11,3,3,0.96,0.01
"4insuranceSmall",7,0.00203442573547363,10,2,2,0.96,0.005
"4insuranceSmall",8,0.0026249885559082,12,4,4,0.96,0.015
"4insuranceSmall",9,0.00186467170715332,15,4,4,0.96,0.015
"4insuranceSmall",10,0.00209879875183105,15,5,5,0.96,0.02
"5rain",1,0.00175714492797852,6,5,5,0.944444444444444,0.0224719101123595
"5rain",2,0.00287175178527832,11,9,9,0.944444444444444,0.0449438202247191
