"dataset","instance","Time","d_cpdag","SHD","SHDs","TPR","FPR"
"1dsep",1,0.0528466701507568,2,1,1,0.833333333333333,0
"1dsep",2,0.00499701499938965,2,1,1,0.833333333333333,0
"1dsep",3,0.000661849975585938,2,1,1,0.833333333333333,0
"1dsep",4,0.000716447830200195,2,1,1,0.833333333333333,0
"1dsep",5,0.000614404678344727,2,1,1,0.833333333333333,0
"1dsep",6,0.000604152679443359,2,1,1,0.833333333333333,0
"1dsep",7,0.000725984573364258,2,1,1,0.833333333333333,0
"1dsep",8,0.000614404678344727,2,1,1,0.833333333333333,0
"1dsep",9,0.000609159469604492,2,1,1,0.833333333333333,0
"1dsep",10,0.000604629516601562,2,1,1,0.833333333333333,0
"2asia",1,0.000771045684814453,2,1,1,0.875,0
"2asia",2,0.000760793685913086,2,1,1,0.875,0
"2asia",3,0.000744819641113281,2,1,1,0.875,0
"2asia",4,0.000770092010498047,2,1,1,0.875,0
"2asia",5,0.000747203826904297,2,1,1,0.875,0
"2asia",6,0.000741243362426758,2,1,1,0.875,0
"2asia",7,0.000758647918701172,2,1,1,0.875,0
"2asia",8,0.000810146331787109,2,1,1,0.875,0
"2asia",9,0.000830650329589844,2,1,1,0.875,0
"2asia",10,0.000757217407226562,2,1,1,0.875,0
"3bowling",1,0.000818490982055664,2,1,1,0.909090909090909,0
"3bowling",2,0.000901460647583008,3,2,2,0.909090909090909,0.0142857142857143
"3bowling",3,0.000817298889160156,4,2,2,0.909090909090909,0.0142857142857143
"3bowling",4,0.000813484191894531,2,1,1,0.909090909090909,0
"3bowling",5,0.000822544097900391,2,1,1,0.909090909090909,0
"3bowling",6,0.00100302696228027,2,1,1,0.909090909090909,0
"3bowling",7,0.000872135162353516,2,1,1,0.909090909090909,0
"3bowling",8,0.000861644744873047,2,1,1,0.909090909090909,0
"3bowling",9,0.000922918319702148,2,1,1,0.909090909090909,0
"3bowling",10,0.0008392333984375,2,1,1,0.909090909090909,0
