"dataset","instance","Time","d_cpdag","SHD","SHDs","TPR","FPR"
"1dsep",1,0.0663235187530518,2,2,1,0.833333333333333,0
"1dsep",2,0.00465965270996094,2,2,1,0.833333333333333,0
"1dsep",3,0.000672101974487305,2,2,1,0.833333333333333,0
"1dsep",4,0.000662565231323242,2,2,1,0.833333333333333,0
"1dsep",5,0.000637292861938477,2,2,1,0.833333333333333,0
"1dsep",6,0.000659465789794922,2,2,1,0.833333333333333,0
"1dsep",7,0.000640153884887695,2,2,1,0.833333333333333,0
"1dsep",8,0.000778913497924805,2,2,1,0.833333333333333,0
"1dsep",9,0.000640630722045898,2,2,1,0.833333333333333,0
"1dsep",10,0.000630378723144531,2,2,1,0.833333333333333,0
"2asia",1,0.000771284103393555,6,4,3,0.875,0.0357142857142857
"2asia",2,0.000825166702270508,6,4,3,0.875,0.0357142857142857
"2asia",3,0.000808000564575195,6,4,3,0.875,0.0357142857142857
"2asia",4,0.000769853591918945,6,4,3,0.875,0.0357142857142857
"2asia",5,0.000761985778808594,6,4,3,0.875,0.0357142857142857
"2asia",6,0.000787019729614258,6,4,3,0.875,0.0357142857142857
"2asia",7,0.000914335250854492,6,4,3,0.875,0.0357142857142857
"2asia",8,0.000851154327392578,6,4,3,0.875,0.0357142857142857
"2asia",9,0.000831842422485352,6,4,3,0.875,0.0357142857142857
"2asia",10,0.000793933868408203,6,4,3,0.875,0.0357142857142857
"3bowling",1,0.000881671905517578,2,2,1,0.909090909090909,0
"3bowling",2,0.000923871994018555,3,3,2,0.909090909090909,0.0142857142857143
"3bowling",3,0.000919580459594727,4,3,2,0.909090909090909,0.0142857142857143
"3bowling",4,0.000874996185302734,2,2,1,0.909090909090909,0
"3bowling",5,0.000872373580932617,2,2,1,0.909090909090909,0
"3bowling",6,0.000921487808227539,2,2,1,0.909090909090909,0
"3bowling",7,0.000923871994018555,2,2,1,0.909090909090909,0
"3bowling",8,0.000902414321899414,2,2,1,0.909090909090909,0
"3bowling",9,0.00107026100158691,2,2,1,0.909090909090909,0
"3bowling",10,0.000892877578735352,2,2,1,0.909090909090909,0
"4insuranceSmall",1,0.00149321556091309,11,4,3,0.96,0.01
"4insuranceSmall",2,0.00150537490844727,11,3,2,0.96,0.005
"4insuranceSmall",3,0.00144863128662109,15,6,5,0.96,0.02
"4insuranceSmall",4,0.00139355659484863,11,4,3,0.96,0.01
"4insuranceSmall",5,0.00150275230407715,15,7,6,0.96,0.025
"4insuranceSmall",6,0.00141263008117676,17,7,6,0.96,0.025
"4insuranceSmall",7,0.00142288208007812,14,6,6,0.92,0.02
"4insuranceSmall",8,0.00148367881774902,11,3,2,0.96,0.005
"4insuranceSmall",9,0.00172543525695801,11,3,2,0.96,0.005
"4insuranceSmall",10,0.00146675109863281,13,5,4,0.96,0.015
"5rain",1,0.00145983695983887,5,4,3,0.944444444444444,0.0112359550561798
"5rain",2,0.0016779899597168,5,4,3,0.944444444444444,0.0112359550561798
"5rain",3,0.00136566162109375,8,5,4,0.944444444444444,0.0168539325842697
"5rain",4,0.00136113166809082,5,4,3,0.944444444444444,0.0112359550561798
"5rain",5,0.00173115730285645,5,4,3,0.944444444444444,0.0112359550561798
"5rain",6,0.00138211250305176,5,4,3,0.944444444444444,0.0112359550561798
"5rain",7,0.00132966041564941,5,4,3,0.944444444444444,0.0112359550561798
"5rain",8,0.00159549713134766,5,4,3,0.944444444444444,0.0112359550561798
"5rain",9,0.00195956230163574,5,4,3,0.944444444444444,0.0112359550561798
"5rain",10,0.0014345645904541,5,4,3,0.944444444444444,0.0112359550561798
"6cloud",1,0.00159525871276855,9,5,4,0.947368421052632,0.0126582278481013
"6cloud",2,0.00165510177612305,8,4,3,0.947368421052632,0.00843881856540084
"6cloud",3,0.00161075592041016,9,5,4,0.947368421052632,0.0126582278481013
"6cloud",4,0.00161337852478027,8,4,3,0.947368421052632,0.00843881856540084
"6cloud",5,0.00167226791381836,11,4,3,0.947368421052632,0.00843881856540084
"6cloud",6,0.00168061256408691,9,5,4,0.947368421052632,0.0126582278481013
"6cloud",7,0.00160050392150879,11,6,5,0.947368421052632,0.0168776371308017
"6cloud",8,0.00170302391052246,8,4,3,0.947368421052632,0.00843881856540084
"6cloud",9,0.00165486335754395,8,4,3,0.947368421052632,0.00843881856540084
"6cloud",10,0.0018622875213623,8,3,2,0.947368421052632,0.00421940928270042
"7funnel",1,0.00194311141967773,7,5,4,0.944444444444444,0.00980392156862745
"7funnel",2,0.00233578681945801,10,7,6,0.944444444444444,0.0163398692810458
"7funnel",3,0.00186777114868164,5,4,3,0.944444444444444,0.0065359477124183
"7funnel",4,0.00230216979980469,5,4,3,0.944444444444444,0.0065359477124183
"7funnel",5,0.00270438194274902,5,4,3,0.944444444444444,0.0065359477124183
"7funnel",6,0.00218033790588379,5,4,3,0.944444444444444,0.0065359477124183
"7funnel",7,0.00229406356811523,6,5,4,0.944444444444444,0.00980392156862745
"7funnel",8,0.00195002555847168,7,5,4,0.944444444444444,0.00980392156862745
"7funnel",9,0.00214648246765137,5,4,3,0.944444444444444,0.0065359477124183
"7funnel",10,0.00192046165466309,5,4,3,0.944444444444444,0.0065359477124183
"8galaxy",1,0.00248122215270996,3,3,2,0.954545454545455,0.00264550264550265
"8galaxy",2,0.00215458869934082,3,3,2,0.954545454545455,0.00264550264550265
"8galaxy",3,0.00219559669494629,3,3,2,0.954545454545455,0.00264550264550265
"8galaxy",4,0.00212979316711426,4,4,3,0.954545454545455,0.00529100529100529
"8galaxy",5,0.0021512508392334,4,4,3,0.954545454545455,0.00529100529100529
"8galaxy",6,0.00218677520751953,5,4,3,0.954545454545455,0.00529100529100529
"8galaxy",7,0.00214481353759766,3,3,2,0.954545454545455,0.00264550264550265
"8galaxy",8,0.00207066535949707,3,3,2,0.954545454545455,0.00264550264550265
"8galaxy",9,0.0022737979888916,3,3,2,0.954545454545455,0.00264550264550265
"8galaxy",10,0.00192642211914062,5,5,4,0.954545454545455,0.00793650793650794
"9insurance",1,0.00306510925292969,12,5,4,0.961538461538462,0.00295420974889217
"9insurance",2,0.00358891487121582,13,5,4,0.961538461538462,0.00295420974889217
"9insurance",3,0.0038752555847168,11,5,4,0.980769230769231,0.00443131462333826
