"dataset","instance","Time","d_cpdag","SHD","SHDs","TPR","FPR"
"1dsep",1,0.0773732662200928,2,2,1,0.833333333333333,0
"1dsep",2,0.00539016723632812,2,2,1,0.833333333333333,0
"1dsep",3,0.00112009048461914,2,2,1,0.833333333333333,0
"1dsep",4,0.00110793113708496,2,2,1,0.833333333333333,0
"1dsep",5,0.00109148025512695,3,3,2,0.833333333333333,0.0333333333333333
"1dsep",6,0.0011138916015625,2,2,1,0.833333333333333,0
"1dsep",7,0.00130105018615723,2,2,1,0.833333333333333,0
"1dsep",8,0.00112342834472656,2,2,1,0.833333333333333,0
"1dsep",9,0.00109148025512695,2,2,1,0.833333333333333,0
"1dsep",10,0.00107669830322266,2,2,1,0.833333333333333,0
"2asia",1,0.0025639533996582,6,4,3,0.875,0.0357142857142857
"2asia",2,0.0021674633026123,6,4,3,0.875,0.0357142857142857
"2asia",3,0.0021364688873291,6,4,3,0.875,0.0357142857142857
"2asia",4,0.0023200511932373,6,4,3,0.875,0.0357142857142857
"2asia",5,0.00254368782043457,7,5,4,0.875,0.0535714285714286
"2asia",6,0.00211811065673828,6,4,3,0.875,0.0357142857142857
"2asia",7,0.00240015983581543,6,4,3,0.875,0.0357142857142857
"2asia",8,0.0022730827331543,6,4,3,0.875,0.0357142857142857
"2asia",9,0.00217247009277344,6,4,3,0.875,0.0357142857142857
"2asia",10,0.00208520889282227,6,4,3,0.875,0.0357142857142857
"3bowling",1,0.00317716598510742,2,2,1,0.909090909090909,0
"3bowling",2,0.00281667709350586,2,2,1,0.909090909090909,0
"3bowling",3,0.00276851654052734,2,2,1,0.909090909090909,0
"3bowling",4,0.00278306007385254,2,2,1,0.909090909090909,0
"3bowling",5,0.00338244438171387,2,2,1,0.909090909090909,0
"3bowling",6,0.00282812118530273,2,2,1,0.909090909090909,0
"3bowling",7,0.00285243988037109,2,2,1,0.909090909090909,0
"3bowling",8,0.00277876853942871,2,2,1,0.909090909090909,0
"3bowling",9,0.00282049179077148,2,2,1,0.909090909090909,0
"3bowling",10,0.00290322303771973,2,2,1,0.909090909090909,0
"4insuranceSmall",1,0.00978922843933105,11,4,3,0.96,0.01
"4insuranceSmall",2,0.0099642276763916,11,3,2,0.96,0.005
"4insuranceSmall",3,0.00972533226013184,11,3,2,0.96,0.005
"4insuranceSmall",4,0.0114076137542725,11,3,2,0.96,0.005
"4insuranceSmall",5,0.00995373725891113,11,4,3,0.96,0.01
"4insuranceSmall",6,0.0103070735931396,11,4,3,0.96,0.01
"4insuranceSmall",7,0.00969147682189941,12,4,3,0.96,0.01
"4insuranceSmall",8,0.0191943645477295,11,3,2,0.96,0.005
"4insuranceSmall",9,0.0103833675384521,11,3,2,0.96,0.005
"4insuranceSmall",10,0.00962948799133301,11,4,3,0.96,0.01
"5rain",1,0.00817060470581055,5,4,3,0.944444444444444,0.0112359550561798
"5rain",2,0.00807023048400879,5,4,3,0.944444444444444,0.0112359550561798
"5rain",3,0.00875282287597656,5,4,3,0.944444444444444,0.0112359550561798
"5rain",4,0.00997352600097656,5,4,3,0.944444444444444,0.0112359550561798
"5rain",5,0.0083167552947998,5,4,3,0.944444444444444,0.0112359550561798
"5rain",6,0.00841426849365234,7,5,4,0.944444444444444,0.0168539325842697
"5rain",7,0.00832056999206543,5,4,3,0.944444444444444,0.0112359550561798
"5rain",8,0.00895404815673828,5,4,3,0.944444444444444,0.0112359550561798
"5rain",9,0.00872588157653809,5,4,3,0.944444444444444,0.0112359550561798
"5rain",10,0.0085151195526123,5,4,3,0.944444444444444,0.0112359550561798
"6cloud",1,0.0128850936889648,8,4,3,0.947368421052632,0.00843881856540084
"6cloud",2,0.0121071338653564,8,4,3,0.947368421052632,0.00843881856540084
"6cloud",3,0.0117478370666504,8,4,3,0.947368421052632,0.00843881856540084
"6cloud",4,0.021207332611084,8,4,3,0.947368421052632,0.00843881856540084
"6cloud",5,0.0118782520294189,8,3,2,0.947368421052632,0.00421940928270042
"6cloud",6,0.0116989612579346,8,4,3,0.947368421052632,0.00843881856540084
"6cloud",7,0.0121269226074219,8,4,3,0.947368421052632,0.00843881856540084
"6cloud",8,0.0138745307922363,8,3,2,0.947368421052632,0.00421940928270042
"6cloud",9,0.0216646194458008,8,4,3,0.947368421052632,0.00843881856540084
"6cloud",10,0.0128557682037354,8,3,2,0.947368421052632,0.00421940928270042
"7funnel",1,0.0161361694335938,5,4,3,0.944444444444444,0.0065359477124183
"7funnel",2,0.0177884101867676,5,4,3,0.944444444444444,0.0065359477124183
"7funnel",3,0.0164551734924316,5,4,3,0.944444444444444,0.0065359477124183
"7funnel",4,0.018355131149292,5,4,3,0.944444444444444,0.0065359477124183
"7funnel",5,0.0164241790771484,5,4,3,0.944444444444444,0.0065359477124183
"7funnel",6,0.0182044506072998,5,4,3,0.944444444444444,0.0065359477124183
"7funnel",7,0.0166149139404297,5,4,3,0.944444444444444,0.0065359477124183
"7funnel",8,0.0161378383636475,5,4,3,0.944444444444444,0.0065359477124183
"7funnel",9,0.0162432193756104,5,4,3,0.944444444444444,0.0065359477124183
"7funnel",10,0.0165343284606934,5,4,3,0.944444444444444,0.0065359477124183
"8galaxy",1,0.0291180610656738,3,3,2,0.954545454545455,0.00264550264550265
"8galaxy",2,0.0250046253204346,3,3,2,0.954545454545455,0.00264550264550265
"8galaxy",3,0.02359938621521,3,3,2,0.954545454545455,0.00264550264550265
"8galaxy",4,0.0244462490081787,3,3,2,0.954545454545455,0.00264550264550265
"8galaxy",5,0.339140653610229,3,3,2,0.954545454545455,0.00264550264550265
"8galaxy",6,0.0217244625091553,3,3,2,0.954545454545455,0.00264550264550265
"8galaxy",7,0.0249292850494385,3,3,2,0.954545454545455,0.00264550264550265
"8galaxy",8,0.025923490524292,3,3,2,0.954545454545455,0.00264550264550265
"8galaxy",9,0.0271048545837402,3,3,2,0.954545454545455,0.00264550264550265
"8galaxy",10,0.0242874622344971,3,3,2,0.954545454545455,0.00264550264550265
"9insurance",1,0.0582234859466553,11,4,3,0.961538461538462,0.00147710487444609
"9insurance",2,0.0930299758911133,11,4,3,0.961538461538462,0.00147710487444609
"9insurance",3,0.0690584182739258,12,5,4,0.961538461538462,0.00295420974889217
"9insurance",4,0.0602550506591797,11,4,3,0.961538461538462,0.00147710487444609
"9insurance",5,0.0763521194458008,9,3,2,0.980769230769231,0.00147710487444609
"9insurance",6,0.0719053745269775,9,3,2,0.980769230769231,0.00147710487444609
"9insurance",7,0.0569827556610107,11,4,3,0.961538461538462,0.00147710487444609
"9insurance",8,0.0704352855682373,11,4,3,0.961538461538462,0.00147710487444609
"9insurance",9,0.0918653011322021,11,4,3,0.961538461538462,0.00147710487444609
"9insurance",10,0.0723166465759277,9,3,2,0.980769230769231,0.00147710487444609
"10factors",1,0.074561595916748,13,4,4,0.941176470588235,0
"10factors",2,0.0680954456329346,14,4,4,0.941176470588235,0
"10factors",3,0.0551667213439941,12,3,3,0.955882352941177,0
"10factors",4,0.0557208061218262,14,4,4,0.941176470588235,0
"10factors",5,0.0759162902832031,12,4,4,0.941176470588235,0
"10factors",6,0.0715992450714111,13,4,4,0.955882352941177,0.00151285930408472
"10factors",7,0.0724575519561768,11,3,3,0.955882352941177,0
"10factors",8,0.0575768947601318,9,2,2,0.970588235294118,0
"10factors",9,0.0562164783477783,11,3,3,0.955882352941177,0
"10factors",10,0.0735962390899658,15,5,5,0.926470588235294,0
"11hfinder",1,1.15197086334229,6,3,2,0.984848484848485,0.000325732899022801
"11hfinder",2,1.05193614959717,6,3,2,0.984848484848485,0.000325732899022801
"11hfinder",3,1.14303636550903,8,4,3,0.96969696969697,0.000325732899022801
"11hfinder",4,1.10384750366211,6,3,2,0.984848484848485,0.000325732899022801
"11hfinder",5,1.09234023094177,8,4,3,0.96969696969697,0.000325732899022801
"11hfinder",6,1.14872622489929,6,3,2,0.984848484848485,0.000325732899022801
"11hfinder",7,1.39055061340332,6,3,2,0.984848484848485,0.000325732899022801
"11hfinder",8,1.06379723548889,6,3,2,0.984848484848485,0.000325732899022801
"11hfinder",9,0.96673321723938,6,3,2,0.984848484848485,0.000325732899022801
"11hfinder",10,1.02514982223511,6,3,2,0.984848484848485,0.000325732899022801
"12hepar",1,2.47180724143982,16,14,13,0.902439024390244,0.000209336403600586
"12hepar",2,2.46717882156372,14,12,11,0.91869918699187,0.000209336403600586
"12hepar",3,2.46265268325806,15,13,12,0.910569105691057,0.000209336403600586
"12hepar",4,2.48957085609436,12,10,9,0.934959349593496,0.000209336403600586
"12hepar",5,2.5554895401001,14,12,11,0.91869918699187,0.000209336403600586
"12hepar",6,2.67070078849792,15,13,12,0.910569105691057,0.000209336403600586
"12hepar",7,2.42283511161804,12,10,9,0.934959349593496,0.000209336403600586
"12hepar",8,2.34351253509521,13,11,10,0.926829268292683,0.000209336403600586
"12hepar",9,2.42001175880432,13,11,10,0.926829268292683,0.000209336403600586
"12hepar",10,2.42404103279114,11,9,8,0.943089430894309,0.000209336403600586
