"N","Time","d_cpdag","TPR","FPR"
1000,0.025209903717041,28,0.487179487179487,0.0277008310249307
2000,0.0203289985656738,23,0.58974358974359,0.0249307479224377
3000,0.0237948894500732,24,0.58974358974359,0.0277008310249307
4000,0.0245509147644043,24,0.58974358974359,0.0277008310249307
5000,0.023813009262085,24,0.58974358974359,0.0277008310249307
6000,0.030066967010498,26,0.58974358974359,0.0332409972299169
7000,0.0290911197662354,28,0.58974358974359,0.038781163434903
8000,0.0459489822387695,27,0.58974358974359,0.03601108033241
9000,0.023730993270874,28,0.615384615384615,0.0415512465373961
10000,0.0229480266571045,28,0.615384615384615,0.0415512465373961
