"N","Time","d_cpdag","TPR","FPR"
1000,0.0494952201843262,5,0.866666666666667,0.0103896103896104
2000,0.0452392101287842,4,0.933333333333333,0.0103896103896104
3000,0.0585041046142578,4,0.933333333333333,0.0103896103896104
4000,0.0194339752197266,4,0.933333333333333,0.0103896103896104
5000,0.0174388885498047,4,0.933333333333333,0.0103896103896104
6000,0.0226190090179443,6,0.866666666666667,0.012987012987013
7000,0.0164670944213867,6,0.866666666666667,0.012987012987013
8000,0.0120217800140381,6,0.866666666666667,0.012987012987013
9000,0.0737500190734863,5,0.866666666666667,0.0103896103896104
10000,0.015326976776123,4,0.933333333333333,0.0103896103896104
