N,d_cpdag,TPR,FPR,Time
1000,25,0.5128205128205128,0.0110803324099723,0.03720808029174805
2000,25,0.5128205128205128,0.01662049861495845,0.010829925537109375
3000,25,0.5128205128205128,0.01662049861495845,0.009949922561645508
4000,25,0.5128205128205128,0.01662049861495845,0.009915828704833984
5000,25,0.5128205128205128,0.01662049861495845,0.010349035263061523
6000,25,0.5128205128205128,0.01662049861495845,0.009366035461425781
7000,25,0.5128205128205128,0.01662049861495845,0.01956796646118164
8000,25,0.5128205128205128,0.01662049861495845,0.03724193572998047
9000,25,0.5128205128205128,0.01662049861495845,0.009655952453613281
10000,25,0.5128205128205128,0.01662049861495845,0.009679317474365234
