N,d_cpdag,TPR,FPR,Time
1000,5,0.75,0.0,0.2002577781677246
2000,6,0.75,0.009523809523809525,0.27340006828308105
3000,4,0.8125,0.009523809523809525,0.1412811279296875
4000,6,0.8125,0.01904761904761905,0.15532779693603516
5000,6,0.8125,0.01904761904761905,0.15861296653747559
6000,4,0.8125,0.02857142857142857,0.14626407623291016
7000,4,0.75,0.01904761904761905,0.1311490535736084
8000,4,0.8125,0.02857142857142857,0.15795207023620605
9000,6,0.8125,0.01904761904761905,0.14197397232055664
10000,6,0.8125,0.01904761904761905,0.1962580680847168
