dataset,iter,d_cpdag,Time,SHDs,TPR,FPR
14munin,1,5,4.35745906829834,3.0,0.9926739926739927,8.7404947120007e-05
14munin,2,6,5.6657350063323975,5.0,0.9926739926739927,8.7404947120007e-05
14munin,3,11,4.264043092727661,6.0,0.989010989010989,0.00020394487661334966
14munin,4,4,4.168321847915649,2.0,0.9926739926739927,5.826996474667133e-05
14munin,5,16,8.206989526748657,11.0,0.9816849816849816,0.00029134982373335664
14munin,6,8,6.936902284622192,5.0,0.9926739926739927,0.00014567491186667832
14munin,7,2,4.199967384338379,1.0,0.9963369963369964,0.0
14munin,8,9,8.432421922683716,8.0,0.989010989010989,0.00014567491186667832
14munin,9,2,4.214696168899536,1.0,0.9963369963369964,0.0
14munin,10,4,4.388900518417358,2.0,0.9963369963369964,2.9134982373335666e-05
