"dataset","instance","Time","d_cpdag","SHD","SHDs","TPR","FPR"
"14munin",1,239.962671756744,5,4,3,0.996336996336996,5.82699647466713e-05
"14munin",2,239.418735265732,2,1,1,0.996336996336996,0
"14munin",3,240.689198493957,9,8,6,0.996336996336996,0.000145674911866678
"14munin",4,227.522180557251,4,3,2,0.996336996336996,2.91349823733357e-05
"14munin",5,221.569784879684,10,9,7,0.996336996336996,0.000174809894240014
"14munin",6,209.694202661514,6,5,4,0.996336996336996,8.7404947120007e-05
"14munin",7,206.620060920715,2,1,1,0.996336996336996,0
"14munin",8,203.660406351089,2,1,1,0.996336996336996,0
"14munin",9,206.036432743073,2,1,1,0.996336996336996,0
"14munin",10,208.57455945015,2,1,1,0.996336996336996,0
