"dataset","k","Time","d_cpdag"
"13pathfinder",1,5.59168815612793,205
"13pathfinder",2,4.55554485321045,206
"13pathfinder",3,5.38055396080017,211
"13pathfinder",4,5.47615694999695,210
"13pathfinder",5,5.35433006286621,203
"13pathfinder",6,6.02394556999207,200
"13pathfinder",7,5.23929190635681,216
"13pathfinder",8,5.98302626609802,209
"13pathfinder",9,4.5466103553772,204
"13pathfinder",10,6.35723638534546,202
"15andes",1,11.1334962844849,115
"15andes",2,10.7934474945068,119
"15andes",3,12.9593317508698,122
"15andes",4,10.7455198764801,124
"15andes",5,12.9180104732513,125
"15andes",6,12.0077228546143,117
"15andes",7,16.3715906143188,114
"15andes",8,11.9076838493347,131
"15andes",9,11.9354753494263,124
"15andes",10,15.2691202163696,124
"16diabetes",1,39.2579452991486,334
"16diabetes",2,39.699392080307,336
"16diabetes",3,43.9688608646393,331
"16diabetes",4,42.4931666851044,328
"16diabetes",5,42.4523708820343,325
"16diabetes",6,45.2437691688538,312
"16diabetes",7,45.1814270019531,323
"16diabetes",8,41.0181841850281,315
"16diabetes",9,44.2074527740479,314
"16diabetes",10,42.2132573127747,311
