dataset,iter,Time,d_cpdag,TPR,FPR
13pathfinder,1,0.844021082,156,0.620512821,0.003627883
13pathfinder,2,1.117812157,220,0.579487179,0.004750799
13pathfinder,3,0.728853941,223,0.569230769,0.004146152
13pathfinder,4,0.645879984,218,0.569230769,0.00423253
13pathfinder,5,0.797616959,218,0.574358974,0.004059774
13pathfinder,6,0.673942089,206,0.620512821,0.003714261
13pathfinder,7,0.760226011,222,0.579487179,0.004578043
13pathfinder,8,0.759508133,225,0.564102564,0.004318908
13pathfinder,9,0.884852171,219,0.584615385,0.004146152
13pathfinder,10,0.744381905,222,0.6,0.004318908
14munin,1,2.412149906,113,0.831501832,0.001845505
14munin,2,1.980932951,106,0.816849817,0.001816211
14munin,3,1.635698795,97,0.820512821,0.00172833
14munin,4,1.750486135,95,0.864468864,0.001669743
14munin,5,2.588274956,102,0.846153846,0.001611155
14munin,6,1.888309002,116,0.838827839,0.001874799
14munin,7,2.009125948,100,0.853479853,0.001669743
14munin,8,2.545579195,112,0.827838828,0.001904092
14munin,9,2.143085957,119,0.813186813,0.00196268
14munin,10,1.705563068,115,0.816849817,0.00196268
15andes,1,1.320677042,121,0.772189349,0.000894891
15andes,2,1.445410967,106,0.792899408,0.000691507
15andes,3,1.68572402,121,0.778106509,0.000894891
15andes,4,1.469540119,118,0.781065089,0.000813537
15andes,5,1.605360985,110,0.789940828,0.000732184
15andes,6,1.975512028,126,0.766272189,0.000935568
15andes,7,1.660202026,105,0.801775148,0.000732184
15andes,8,2.047466993,113,0.778106509,0.000793199
15andes,9,2.303758144,123,0.778106509,0.000915229
15andes,10,2.070305109,136,0.74852071,0.000996583
16diabetes,1,9.278712988,282,0.739202658,0.000849287
16diabetes,2,11.01028085,277,0.740863787,0.000837491
16diabetes,3,12.03359389,283,0.747508306,0.000843389
16diabetes,4,9.729773045,278,0.750830565,0.000831593
16diabetes,5,11.19241595,252,0.765780731,0.000749024
16diabetes,6,10.86133981,287,0.740863787,0.000890572
16diabetes,7,11.64537716,272,0.750830565,0.000808002
16diabetes,8,8.073035955,282,0.747508306,0.000855185
16diabetes,9,8.832574129,275,0.752491694,0.000855185
16diabetes,10,11.26532006,279,0.747508306,0.000843389
