dataset,iter,d_cpdag,Time,SHDs,TPR,FPR
13pathfinder,1,109,22.821983575820923,90.0,0.882051282051282,0.005733356152661304
13pathfinder,2,126,24.195561408996582,97.0,0.8769230769230769,0.0062467910320041075
13pathfinder,3,96,22.341930627822876,75.0,0.8871794871794871,0.004535341434194763
13pathfinder,4,118,28.989989519119263,91.0,0.8666666666666667,0.00556221119288037
13pathfinder,5,84,24.250555753707886,70.0,0.8923076923076924,0.004193051514632894
13pathfinder,6,82,23.158902168273926,64.0,0.882051282051282,0.0035084716755091564
13pathfinder,7,94,22.875051259994507,70.0,0.8871794871794871,0.004107479034742427
13pathfinder,8,97,24.989179134368896,80.0,0.8923076923076924,0.005048776313537566
13pathfinder,9,70,22.614915370941162,57.0,0.9076923076923077,0.0033373267157282217
13pathfinder,10,74,23.38422131538391,62.0,0.8974358974358975,0.0035940441553996235
15andes,1,104,133.67320728302002,93.0,0.8313609467455622,0.0007693709380251463
15andes,2,92,188.0310845375061,88.0,0.834319526627219,0.0006478913162317021
15andes,3,87,94.00708770751953,83.0,0.8431952662721893,0.0006073981089672208
15andes,4,104,64.82454442977905,94.0,0.834319526627219,0.0008098641452896276
15andes,5,96,90.20668411254883,92.0,0.834319526627219,0.0007288777307606649
15andes,6,99,98.35357546806335,90.0,0.834319526627219,0.0006883845234961835
15andes,7,91,99.45993161201477,84.0,0.8431952662721893,0.0006276447125994614
15andes,8,108,111.68782162666321,98.0,0.8284023668639053,0.000850357352554109
15andes,9,104,102.19853115081787,93.0,0.8372781065088757,0.0008098641452896276
15andes,10,99,106.41060304641724,91.0,0.834319526627219,0.0007086311271284243
16diabetes,1,154,776.1656591892242,133.0,0.9235880398671097,0.0005589320279819023
16diabetes,2,168,754.1844184398651,150.0,0.925249169435216,0.0006295339683585637
16diabetes,3,156,736.8556451797485,140.0,0.9302325581395349,0.0005883495031388446
16diabetes,4,177,744.4844636917114,148.0,0.9235880398671097,0.0006354174633899522
16diabetes,5,148,868.788813829422,133.0,0.9335548172757475,0.0005589320279819023
16diabetes,6,147,719.6145339012146,132.0,0.9335548172757475,0.0005530485329505139
16diabetes,7,165,893.8604526519775,144.0,0.9302325581395349,0.0006118834832643984
16diabetes,8,151,612.8618626594543,134.0,0.9269102990033222,0.000541281542887737
16diabetes,9,148,611.2002046108246,132.0,0.9269102990033222,0.0005295145528249601
16diabetes,10,170,604.7952299118042,145.0,0.9235880398671097,0.0006295339683585637
