"dataset","k","Time","d_cpdag","TPR","FPR"
"13pathfinder",1,0.640737056732178,255,0.470031545741325,0.00741561541084214
"13pathfinder",2,0.698369979858398,266,0.454258675078864,0.00792366021981767
"13pathfinder",3,0.630819082260132,264,0.460567823343849,0.00792501065189604
"13pathfinder",4,0.4271080493927,303,0.422712933753943,0.0102153741380778
"13pathfinder",5,0.395539045333862,284,0.466876971608833,0.00980141481292082
"13pathfinder",6,0.397790908813477,297,0.43217665615142,0.0099625340599455
"13pathfinder",7,0.412531137466431,266,0.460567823343849,0.00809544098849595
"13pathfinder",8,0.437725067138672,286,0.44794952681388,0.00945566061845132
"13pathfinder",9,0.363946914672852,259,0.470031545741325,0.00775656324582339
"13pathfinder",10,0.627532958984375,276,0.454258675078864,0.00877566669506688
"14munin",1,0.253090143203735,107,0.854092526690391,0.00192106182326231
"14munin",2,0.247703075408936,134,0.832740213523132,0.00253186659682207
"14munin",3,0.244615793228149,97,0.864768683274021,0.00171746281256368
"14munin",4,0.305786848068237,106,0.875444839857651,0.0020669577874818
"14munin",5,0.274482011795044,114,0.846975088967972,0.00206647651202049
"14munin",6,0.307658910751343,114,0.857651245551601,0.00215398049774414
"14munin",7,0.25667405128479,118,0.861209964412811,0.00229958665657565
"14munin",8,0.270166873931885,117,0.857651245551601,0.00224130403143647
"14munin",9,0.271937131881714,120,0.843416370106762,0.00221193864780698
"14munin",10,0.283096075057983,128,0.832740213523132,0.00235725510738607
"15andes",1,0.574080944061279,189,0.778735632183908,0.00226454769703587
"15andes",2,0.370613098144531,130,0.830459770114943,0.00143608414239482
"15andes",3,0.464469909667969,143,0.816091954022989,0.00159773485691172
"15andes",4,0.45264196395874,147,0.813218390804598,0.00165837479270315
"15andes",5,0.439258098602295,140,0.804597701149425,0.00145604562276285
"15andes",6,0.34628176689148,156,0.795977011494253,0.00171883846962711
"15andes",7,0.417705059051514,151,0.813218390804598,0.00173927112405452
"15andes",8,0.491017818450928,215,0.75,0.00258753133338724
"15andes",9,0.424093008041382,189,0.781609195402299,0.00228481306993954
"15andes",10,0.454164028167725,190,0.772988505747126,0.00224423776789325
"16diabetes",1,3.28273105621338,392,0.773885350318471,0.00146987059259303
"16diabetes",2,3.91470408439636,402,0.777070063694268,0.00154044249504648
"16diabetes",3,3.28340101242065,385,0.777070063694268,0.00144049011941369
"16diabetes",4,3.02312803268433,403,0.772292993630573,0.00152865642858823
"16diabetes",5,3.33489799499512,377,0.775477707006369,0.00138756599757764
"16diabetes",6,4.66704893112183,409,0.788216560509554,0.00162282300645601
"16diabetes",7,3.0311598777771,391,0.78343949044586,0.00149932089582954
"16diabetes",8,2.66654181480408,408,0.773885350318471,0.00156394231051898
"16diabetes",9,3.01709318161011,367,0.788216560509554,0.00137587167938662
"16diabetes",10,3.07450604438782,337,0.797770700636943,0.00123480019756803
