"dataset","k","Time","d_cpdag","TPR","FPR"
"13pathfinder",1,0.175850868225098,158,0.545741324921136,0.00119576358045781
"13pathfinder",2,0.19190502166748,158,0.539432176656151,0.00102476515798463
"13pathfinder",3,0.130075931549072,161,0.536277602523659,0.00119545726240287
"13pathfinder",4,0.115726947784424,160,0.542586750788643,0.00128106584678452
"13pathfinder",5,0.0872578620910645,152,0.570977917981073,0.00136752136752137
"13pathfinder",6,0.0866520404815674,181,0.514195583596215,0.00230414746543779
"13pathfinder",7,0.0903880596160889,163,0.539432176656151,0.00145175064047822
"13pathfinder",8,0.167581796646118,161,0.533123028391167,0.00110997267759563
"13pathfinder",9,0.0818638801574707,168,0.529968454258675,0.0016221292580893
"13pathfinder",10,0.139081954956055,153,0.55205047318612,0.000939689048351273
"14munin",1,0.0901689529418945,57,0.896797153024911,0.000815280689494526
"14munin",2,0.0896139144897461,59,0.896797153024911,0.000873515024458421
"14munin",3,0.093419075012207,59,0.900355871886121,0.000902658474798358
"14munin",4,0.0993740558624268,45,0.918149466192171,0.000640689615003786
"14munin",5,0.0905470848083496,57,0.903914590747331,0.000873565895987421
"14munin",6,0.0923440456390381,51,0.911032028469751,0.00075713453698311
"14munin",7,0.121449947357178,50,0.911032028469751,0.000728013977868375
"14munin",8,0.103339910507202,59,0.896797153024911,0.000873515024458421
"14munin",9,0.0958831310272217,62,0.893238434163701,0.000931722230310089
"14munin",10,0.198096036911011,60,0.896797153024911,0.000902632191940368
"15andes",1,0.278421878814697,108,0.89367816091954,0.00143672346108705
"15andes",2,0.217405080795288,39,0.96551724137931,0.000546636163019051
"15andes",3,0.410682916641235,41,0.968390804597701,0.000607385811467444
"15andes",4,0.313940048217773,104,0.905172413793103,0.00143683976201077
"15andes",5,0.345267057418823,42,0.968390804597701,0.000627632005183026
"15andes",6,0.231478929519653,108,0.899425287356322,0.00147725433058119
"15andes",7,0.239388227462769,102,0.905172413793103,0.00139636540251751
"15andes",8,0.261643886566162,113,0.89367816091954,0.00153790116961431
"15andes",9,0.276319026947021,131,0.876436781609195,0.00178051149239236
"15andes",10,0.300624132156372,129,0.879310344827586,0.00176031402383506
"16diabetes",1,1.03859090805054,233,0.859872611464968,0.000852795699557134
"16diabetes",2,1.03408813476562,251,0.85031847133758,0.000923339312494486
"16diabetes",3,0.960949897766113,261,0.845541401273885,0.000964490290405674
"16diabetes",4,0.969258069992065,259,0.848726114649682,0.000964501634947893
"16diabetes",5,0.97183895111084,242,0.85828025477707,0.000899841204493325
"16diabetes",6,1.31281089782715,234,0.85828025477707,0.000852790683996942
"16diabetes",7,0.92851185798645,226,0.874203821656051,0.000864604164215975
"16diabetes",8,1.04719996452332,217,0.871019108280255,0.000799896483984426
"16diabetes",9,1.01627922058105,262,0.85031847133758,0.000988031875790279
"16diabetes",10,0.981358051300049,260,0.840764331210191,0.000940949535700214
