"dataset","k","Time","d_cpdag","TPR","FPR"
"13pathfinder",1,1.14142632484436,253,0.498422712933754,0.00801842531775143
"13pathfinder",2,1.02061128616333,271,0.501577287066246,0.00963999317522607
"13pathfinder",3,0.690505266189575,262,0.50788643533123,0.00904436860068259
"13pathfinder",4,0.745635509490967,271,0.476340694006309,0.00895140664961637
"13pathfinder",5,0.772489547729492,244,0.523659305993691,0.00793854033290653
"13pathfinder",6,0.747514963150024,256,0.49211356466877,0.00810234541577825
"13pathfinder",7,0.699548006057739,272,0.488958990536278,0.00938086303939963
"13pathfinder",8,1.00020265579224,256,0.517350157728707,0.00879064606981309
"13pathfinder",9,0.895899534225464,206,0.545741324921136,0.00529552442774171
"13pathfinder",10,0.741101980209351,247,0.504731861198738,0.00767852572306117
"15andes",1,1.114830493927,137,0.807471264367816,0.00141562853907135
"15andes",2,1.43668532371521,197,0.729885057471264,0.00208185952501263
"15andes",3,1.59067440032959,144,0.804597701149425,0.00153693704624967
"15andes",4,1.71512675285339,152,0.807471264367816,0.00171897751172949
"15andes",5,2.54660844802856,187,0.741379310344828,0.00196074467870065
"15andes",6,2.51051640510559,131,0.804597701149425,0.00127403991991749
"15andes",7,1.74056100845337,133,0.813218390804598,0.00137523763297334
"15andes",8,2.48759579658508,156,0.793103448275862,0.0016985824924676
"15andes",9,1.11788177490234,142,0.810344827586207,0.00153699921127672
"15andes",10,2.69858741760254,149,0.801724137931034,0.00161779575328615
"16diabetes",1,7.9648163318634,502,0.730891719745223,0.00195755687496326
"16diabetes",2,9.41906833648682,473,0.721337579617834,0.00175174586752569
"16diabetes",3,11.9142360687256,471,0.735668789808917,0.00179298911861358
"16diabetes",4,11.465264081955,449,0.740445859872611,0.00168132436627005
"16diabetes",5,10.8779284954071,443,0.75,0.00168138367294148
"16diabetes",6,8.25648546218872,447,0.740445859872611,0.00166956685321921
"16diabetes",7,13.2942399978638,507,0.713375796178344,0.00192216128520289
"16diabetes",8,7.89815926551819,425,0.743630573248408,0.0015520099704883
"16diabetes",9,14.0638334751129,427,0.745222929936306,0.0015696556751577
"16diabetes",10,11.9247477054596,443,0.740445859872611,0.00164605182711753
