dataset,iter,SHD,TPR,FPR,d_cpdag,Time
13pathfinder,1,46.0,0.841025641025641,0.0016258771179188773,77,9.981117010116577
13pathfinder,2,50.0,0.8256410256410256,0.0018825945575902789,105,10.732623815536499
13pathfinder,3,48.0,0.8461538461538461,0.0020537395173712133,82,11.020574808120728
13pathfinder,4,59.0,0.7846153846153846,0.001968167037480746,112,10.0709228515625
13pathfinder,5,39.0,0.8512820512820513,0.0013691596782474755,61,10.416111707687378
13pathfinder,6,41.0,0.841025641025641,0.0013691596782474755,66,10.215309143066406
13pathfinder,7,50.0,0.8102564102564103,0.0016258771179188773,86,12.142730951309204
13pathfinder,8,49.0,0.8256410256410256,0.0017970220776998118,84,11.212054014205933
13pathfinder,9,39.0,0.8256410256410256,0.0012835871983570084,73,13.997499942779541
13pathfinder,10,47.0,0.8512820512820513,0.0017114495978093444,70,17.81406307220459
14munin,1,180.0,0.717948717948718,0.00638056113976051,315,32.69925141334534
14munin,2,160.0,0.7216117216117216,0.005826996474667133,305,29.09776997566223
14munin,3,179.0,0.6996336996336996,0.0065553710340005246,324,30.664595365524292
14munin,4,173.0,0.7252747252747253,0.0062348862278938325,308,24.288344144821167
14munin,5,167.0,0.717948717948718,0.006001806368907147,302,29.913429260253906
14munin,6,165.0,0.7289377289377289,0.00591440142178714,293,30.38704013824463
14munin,7,146.0,0.7509157509157509,0.0055356466509337765,273,30.41770100593567
14munin,8,165.0,0.717948717948718,0.0062348862278938325,316,32.8308801651001
14munin,9,161.0,0.7252747252747253,0.006001806368907147,304,25.11509394645691
14munin,10,151.0,0.73992673992674,0.005593916615680448,290,26.098860025405884
15andes,1,97.0,0.8224852071005917,0.0008706039561863498,104,35.69549012184143
15andes,2,94.0,0.8195266272189349,0.0008706039561863498,105,32.2647590637207
15andes,3,87.0,0.8254437869822485,0.0007693709380251463,99,32.183115005493164
15andes,4,95.0,0.8195266272189349,0.0009718369743475532,110,19.967793941497803
15andes,5,90.0,0.8165680473372781,0.0007693709380251463,100,36.93921899795532
15andes,6,100.0,0.8165680473372781,0.0010123301816120345,113,40.79798197746277
15andes,7,97.0,0.8224852071005917,0.0010325767852442753,112,37.16336369514465
15andes,8,100.0,0.8047337278106509,0.0010123301816120345,117,43.018768072128296
15andes,9,93.0,0.8195266272189349,0.000850357352554109,104,35.92392706871033
15andes,10,95.0,0.8165680473372781,0.0009110971634508311,109,37.2326180934906
16diabetes,1,162.0,0.8338870431893688,0.0010590291056499202,293,1269.7249660491943
16diabetes,2,169.0,0.8289036544850499,0.0010707960957126973,298,1021.477765083313
16diabetes,3,155.0,0.8355481727574751,0.0010119611453988128,285,1445.4285798072815
16diabetes,4,151.0,0.8322259136212624,0.000988427165273259,280,1000.4728910923004
16diabetes,5,147.0,0.8388704318936877,0.0009531261950849282,270,638.1165971755981
16diabetes,6,163.0,0.8322259136212624,0.001082563085775474,297,649.6174499988556
16diabetes,7,178.0,0.8289036544850499,0.0011590485211835238,319,663.2927470207214
16diabetes,8,142.0,0.8355481727574751,0.0009119417298652092,266,711.5867912769318
16diabetes,9,150.0,0.8338870431893688,0.0009531261950849282,273,763.6843299865723
16diabetes,10,156.0,0.8388704318936877,0.0010178446404302012,285,655.9430561065674
