,absGAP,RGAP,d_cpdag,SHDs,TPR,FPR,run_time
0,0,0,2,1,0.833333333,0,0.2234025
1,0,0,2,1,0.833333333,0,0.336439667
2,0,0,2,1,0.833333333,0,0.256431917
3,0.000418564,5.23E-05,2,1,0.833333333,0,0.225021292
4,0,0,2,1,0.833333333,0,0.28191725
5,0.000193161,2.35E-05,2,1,0.833333333,0,0.306733209
6,0,0,2,1,0.833333333,0,0.295966375
7,0.000102257,1.22E-05,2,1,0.833333333,0,0.252800709
8,0,0,2,1,0.833333333,0,0.259024625
9,0,0,2,1,0.833333333,0,0.225721625
10,5.39E-05,7.35E-06,2,1,0.875,0,0.435810166
11,0,0,2,1,0.875,0,0.583994375
12,0,0,2,1,0.875,0,0.643144709
13,0.000111256,1.73E-05,2,1,0.875,0,1.004989917
14,2.53E-08,3.70E-09,2,1,0.875,0,0.76423875
15,0.000337393,4.99E-05,2,1,0.875,0,0.742088917
16,1.18E-05,1.76E-06,2,1,0.875,0,1.024266583
17,0,0,2,1,0.875,0,1.215762125
18,0,0,2,1,0.875,0,0.919675666
19,0,0,4,1,0.875,0,0.885616458
20,0,0,2,1,0.909090909,0,2.8830055
21,0,0,2,1,0.909090909,0,3.322155292
22,0,0,2,1,0.909090909,0,2.884458083
23,0,0,2,1,0.909090909,0,2.043642375
24,0,0,2,1,0.909090909,0,2.289302417
25,0,0,2,1,0.909090909,0,3.044561083
26,0,0,2,1,0.909090909,0,4.5556695
27,0,0,2,1,0.909090909,0,2.382270333
28,0,0,2,1,0.909090909,0,2.88870525
29,0,0,2,1,0.909090909,0,2.850451917
30,1.024654592,0.050629499,9,3,0.88,0,750.013894
31,1.133623309,0.057782599,9,3,0.88,0,749.9975318
32,1.396608478,0.070469831,9,2,0.92,0,750.014575
33,1.033006223,0.053163691,9,3,0.88,0,750.0227627
34,0.923475953,0.046065884,4,2,0.92,0,750.0161266
35,0.614776316,0.031218131,9,3,0.88,0,750.0025188
36,0.61695758,0.031216305,9,3,0.88,0,750.022786
37,0.814260927,0.040371406,9,3,0.88,0,750.010948
38,0.194743535,0.010095722,9,3,0.88,0,750.0220481
39,1.157401007,0.057705532,9,3,0.88,0,750.1919927
40,0.000241038,1.45E-05,2,1,0.944444444,0,33.11621633
41,0.000608672,3.77E-05,2,1,0.944444444,0,62.45568
42,0.00061049,3.76E-05,2,1,0.944444444,0,33.54854292
43,2.29E-05,1.44E-06,2,1,0.944444444,0,36.22220267
44,0.00093666,5.78E-05,2,1,0.944444444,0,32.46924358
45,0.000305395,1.90E-05,2,1,0.944444444,0,29.3343505
46,0.000146586,9.05E-06,2,1,0.944444444,0,41.41376958
47,8.54E-05,5.14E-06,2,1,0.944444444,0,35.28076529
48,0.000552654,3.50E-05,2,1,0.944444444,0,36.45921279
49,0.000285383,1.74E-05,2,1,0.944444444,0,37.24572475
50,8.77E-05,5.06E-06,5,2,0.894736842,0,6.864358875
51,3.63E-05,2.17E-06,5,2,0.894736842,0,12.37682592
52,0.000918916,5.43E-05,5,2,0.894736842,0,9.158369125
53,0,0,5,2,0.894736842,0,4.633899916
54,0,0,5,2,0.894736842,0,8.996338209
55,1.31E-05,7.75E-07,2,1,0.947368421,0,12.08973629
56,0.001023454,6.04E-05,5,2,0.894736842,0,5.783657041
57,0,0,5,2,0.894736842,0,7.506929583
58,4.60E-06,2.79E-07,5,2,0.894736842,0,5.933441833
59,4.20E-05,2.45E-06,5,2,0.894736842,0,14.04492508
60,2.61E-08,1.17E-09,2,1,0.944444444,0,9.743290917
61,0,0,2,1,0.944444444,0,5.488675709
62,0,0,2,1,0.944444444,0,12.647552
63,0,0,2,1,0.944444444,0,13.50105875
64,0,0,2,1,0.944444444,0,9.860804458
65,0,0,2,1,0.944444444,0,5.462573917
66,0,0,2,1,0.944444444,0,6.10613225
67,0,0,2,1,0.944444444,0,10.22377112
68,0,0,2,1,0.944444444,0,8.0742925
69,0,0,2,1,0.944444444,0,8.501498375
70,0,0,1,1,0.954545455,0,57.781011
71,0,0,1,1,0.954545455,0,39.86256138
72,0,0,1,1,0.954545455,0,67.52430696
73,0,0,1,1,0.954545455,0,46.67838867
