graph,n_sample,iter,d_cpdag,obj,RGAP,TPR,FPR,time
1,50,1,5,10.50927921,3.77E-05,0.285714286,0.021505376,0.769325733
1,50,2,1,11.32547655,0,0.571428571,0.021505376,0.667286873
1,50,3,7,10.76664875,5.88E-06,0.142857143,0.010752688,0.815651894
1,50,4,5,9.891391426,3.11E-05,0.285714286,0.021505376,1.25262785
1,50,5,3,10.63724954,2.97E-06,0.571428571,0.010752688,0.754050016
1,50,6,6,10.31038979,2.57E-08,0.428571429,0.021505376,0.669157743
1,50,7,11,10.37596462,2.04E-08,0,0.032258065,0.777915001
1,50,8,7,10.88729146,4.14E-05,0.142857143,0.032258065,0.695662975
1,50,9,7,9.649142299,6.25E-05,0.285714286,0.010752688,1.196301699
1,50,10,7,10.72739095,7.93E-08,0.428571429,0,1.208268166
1,100,1,1,10.8596522,0,0.857142857,0,0.485646009
1,100,2,1,10.46546171,3.75E-06,0.857142857,0,0.53960228
1,100,3,7,25.88351848,1.44417642,0.142857143,0,500.2844281
1,100,4,3,9.488223303,0,0.428571429,0.021505376,0.587973118
1,100,5,3,10.34575739,0,0.714285714,0,1.291992188
1,100,6,4,10.16600897,0,0.714285714,0.010752688,0.58731699
1,100,7,3,9.617184141,0,0.571428571,0.021505376,1.441653013
1,100,8,1,10.47698679,5.02E-06,0.571428571,0.021505376,0.874269247
1,100,9,1,9.377531469,0,0.714285714,0.010752688,0.834640026
1,100,10,1,9.9158845,6.86E-07,0.857142857,0,0.569164991
1,200,1,1,10.61118377,0,0.714285714,0.010752688,0.857856035
1,200,2,0,10.01191942,0,0.857142857,0.010752688,0.791612864
1,200,3,1,9.804398504,0,0.714285714,0.010752688,0.771919966
1,200,4,0,9.664487542,3.03E-08,1,0,0.973916054
1,200,5,0,9.960247436,0,1,0,0.967689037
1,200,6,0,9.879680001,0,0.857142857,0.010752688,1.137409925
1,200,7,1,9.925609681,0,0.857142857,0,0.915212154
1,200,8,0,10.25010469,0,0.857142857,0.010752688,0.611022949
1,200,9,1,9.337333335,0,0.571428571,0.021505376,0.659384966
1,200,10,3,10.24422479,0,0.714285714,0.021505376,0.605695963
1,300,1,0,10.43531355,0,1,0,1.182655096
1,300,2,0,9.984730148,0,1,0,0.785360098
1,300,3,0,9.797132511,1.72E-07,0.857142857,0.010752688,0.809758902
1,300,4,0,9.356013716,0,0.857142857,0.010752688,0.937934875
1,300,5,0,9.977444593,9.98E-08,0.857142857,0.010752688,0.634359837
1,300,6,0,9.797109127,1.46E-06,0.857142857,0.010752688,0.99183774
1,300,7,1,9.648941768,1.11E-08,0.857142857,0,1.224555016
1,300,8,0,10.01253157,6.93E-05,0.714285714,0.021505376,1.111037016
1,300,9,0,9.557783059,1.94E-06,1,0,0.671306133
1,300,10,0,10.11334174,2.05E-06,0.857142857,0.010752688,0.944097042
1,400,1,0,10.42549264,2.96E-07,0.857142857,0.010752688,1.032877684
1,400,2,0,9.826999072,1.23E-05,0.857142857,0.010752688,0.960395098
1,400,3,0,9.821545649,0,1,0,0.598973989
1,400,4,0,9.409829513,2.29E-05,0.857142857,0.010752688,0.853871822
1,400,5,0,9.82544138,2.36E-06,0.857142857,0.010752688,1.3727808
1,400,6,0,9.700636293,6.39E-06,0.857142857,0.010752688,1.262307882
1,400,7,0,9.696162039,2.14E-05,0.857142857,0.010752688,0.73001194
1,400,8,0,10.36586903,3.64E-07,0.857142857,0.010752688,1.0092628
1,400,9,0,9.40346608,0,0.857142857,0.010752688,0.613390207
1,400,10,0,10.14112966,0,1,0,1.516489983
1,500,1,0,10.18310449,0,0.857142857,0.010752688,1.361742258
1,500,2,0,9.645492035,1.28E-05,0.857142857,0.010752688,0.904473782
1,500,3,0,9.81177338,0,0.857142857,0.010752688,1.31624794
1,500,4,0,9.361819067,0,0.857142857,0.010752688,1.049916983
1,500,5,0,9.919527169,1.60E-07,1,0,0.791493177
1,500,6,0,9.729268495,0,0.857142857,0.010752688,1.505447865
1,500,7,0,9.630111165,5.49E-05,0.857142857,0.010752688,0.944283009
1,500,8,0,10.04542713,0,1,0,0.78411603
1,500,9,0,9.493285473,2.82E-06,0.857142857,0.010752688,0.946151972
1,500,10,0,10.11545866,9.65E-06,0.857142857,0.010752688,0.769867897
2,50,1,5,8.803406862,0,0.5,0.034090909,2.317125797
2,50,2,0,9.156699146,0,0.916666667,0.011363636,2.033765793
2,50,3,2,8.907920815,0,0.916666667,0.011363636,3.204940081
